sample,family,trim,inflate,retention,trim_relative,inflate_relative,relative_shift
DRR014782,f__Methanosarcinaceae,28.0,0.0,0.0,5.191890415510698e-06,0.0,-5.191890415510698e-06
DRR014782,f__Pasteurellaceae,26.0,22.0,0.8461538461538461,4.821041100117077e-06,4.50815884538675e-06,-3.1288225473032727e-07
DRR014782,f__Sulfurovaceae,25.0,0.0,0.0,4.635616442420267e-06,0.0,-4.635616442420267e-06
DRR014782,f__CAG-138,24.0,10.0,0.4166666666666667,4.450191784723456e-06,2.0491631115394316e-06,-2.4010286731840244e-06
DRR014782,f__Rhodobacteraceae,21.0,0.0,0.0,3.893917811633024e-06,0.0,-3.893917811633024e-06
DRR014782,f__Flavobacteriaceae,20.0,2.0,0.1,3.708493153936213e-06,4.0983262230788636e-07,-3.298660531628327e-06
DRR014782,f__Monoglobaceae,18.0,2.0,0.1111111111111111,3.337643838542592e-06,4.0983262230788636e-07,-2.9278112162347054e-06
DRR014782,f__Aerococcaceae,17.0,0.0,0.0,3.1522191808457812e-06,0.0,-3.1522191808457812e-06
DRR014782,f__Paenibacillaceae,16.0,0.0,0.0,2.9667945231489705e-06,0.0,-2.9667945231489705e-06
DRR014782,f__Alteromonadaceae,15.0,0.0,0.0,2.7813698654521598e-06,0.0,-2.7813698654521598e-06
DRR014782,f__Pirellulaceae,15.0,0.0,0.0,2.7813698654521598e-06,0.0,-2.7813698654521598e-06
DRR014782,f__P3,13.0,5.0,0.38461538461538464,2.4105205500585387e-06,1.0245815557697158e-06,-1.385938994288823e-06
DRR014782,f__Fibrobacteraceae,12.0,32.0,2.6666666666666665,2.225095892361728e-06,6.557321956926182e-06,4.332226064564454e-06
DRR014782,f__Cellvibrionaceae,12.0,0.0,0.0,2.225095892361728e-06,0.0,-2.225095892361728e-06
DRR014782,f__CAG-239,12.0,0.0,0.0,2.225095892361728e-06,0.0,-2.225095892361728e-06
DRR014782,f__Dialisteraceae,11.0,0.0,0.0,2.0396712346649172e-06,0.0,-2.0396712346649172e-06
DRR014782,f__Propionibacteriaceae,10.0,9.0,0.9,1.8542465769681065e-06,1.8442468003854885e-06,-9.999776582617999e-09
DRR014782,f__Rhizobiaceae,10.0,0.0,0.0,1.8542465769681065e-06,0.0,-1.8542465769681065e-06
DRR014782,f__Acidaminococcaceae,10.0,0.0,0.0,1.8542465769681065e-06,0.0,-1.8542465769681065e-06
DRR014782,f__Xanthomonadaceae,10.0,0.0,0.0,1.8542465769681065e-06,0.0,-1.8542465769681065e-06
DRR014782,f__Borreliaceae,10.0,0.0,0.0,1.8542465769681065e-06,0.0,-1.8542465769681065e-06
DRR014782,f__CAG-826,9.0,6.0,0.6666666666666666,1.668821919271296e-06,1.229497866923659e-06,-4.393240523476369e-07
DRR014782,f__Acidaminobacteraceae,9.0,0.0,0.0,1.668821919271296e-06,0.0,-1.668821919271296e-06
DRR014782,f__JALWFW01,9.0,0.0,0.0,1.668821919271296e-06,0.0,-1.668821919271296e-06
DRR014782,f__HGM11507,9.0,0.0,0.0,1.668821919271296e-06,0.0,-1.668821919271296e-06
DRR014782,f__UBA3830,8.0,0.0,0.0,1.4833972615744852e-06,0.0,-1.4833972615744852e-06
DRR014782,f__Neisseriaceae,8.0,0.0,0.0,1.4833972615744852e-06,0.0,-1.4833972615744852e-06
DRR014782,f__Leptotrichiaceae,8.0,0.0,0.0,1.4833972615744852e-06,0.0,-1.4833972615744852e-06
DRR014782,f__Leptospiraceae,8.0,0.0,0.0,1.4833972615744852e-06,0.0,-1.4833972615744852e-06
DRR014782,f__UBA9464,7.0,0.0,0.0,1.2979726038776745e-06,0.0,-1.2979726038776745e-06
DRR014782,f__JAISNN01,7.0,7.0,1.0,1.2979726038776745e-06,1.4344141780776021e-06,1.3644157419992764e-07
DRR014782,f__Sphingomonadaceae,7.0,0.0,0.0,1.2979726038776745e-06,0.0,-1.2979726038776745e-06
DRR014782,f__Ignavibacteriaceae,7.0,2.0,0.2857142857142857,1.2979726038776745e-06,4.0983262230788636e-07,-8.881399815697882e-07
