accession,assembly_f_unweighted,assembly_f_weighted,assembly_f_readmapped,ref_f_unweighted,ref_f_weighted,f_reads_mapped
SRR12908327,0.01505149799332444,0.8830386569806425,0.7626712544441709,0.015913137570348,0.8824680676949493,0.965152094225422
SRR15604576,0.42293115348432786,0.9204561350079937,0.7328252149841694,0.5774237761069513,0.9072340723657449,0.9467204914073053
SRR1702229,0.13409150388998597,0.35579825181039026,0.34493814656075844,0.13278861067396902,0.23589807155540488,0.445197657224874
SRR17255031,0.15231311732110214,0.3590874406523826,0.30705928173223207,0.0590687198205995,0.12169499517491907,0.2688762823792313
SRR17257160,0.28696256267508025,0.8552122081481116,0.672055810674819,0.4120956696103498,0.8527559249829544,0.9259652514322284
SRR1873849,0.026335831963763177,0.9658152557161581,0.536256864552852,0.042102590825883995,0.9655801966128668,0.9840936012543695
SRR1916815,0.18167445930704382,0.8054926257709643,0.5341777372419226,0.07707914198667319,0.1766686065056844,0.2511652187444705
SRR19759452,0.3601785256523814,0.8269245312000246,0.5805824696395933,0.629404004426632,0.8579318580038385,0.9115405342744214
SRR2107175,0.2530839587980167,0.7082439743290327,0.6704900971297518,0.13269678269499,0.29243319914747573,0.5130430742401636
SRR2107179,0.2225064248654415,0.6802302141842215,0.4763359973198503,0.1091444680035049,0.5408895221142113,0.643826342366073
SRR2753158,0.32538751460452037,0.8050371330250482,0.8342221998306235,0.1332592011477218,0.433405842242006,0.6242832251554866
SRR3183878,0.0747894602526477,0.7290693251304422,0.2561726425928289,0.1657841010590779,0.4782574280066579,0.4639566908444757
SRR3211795,0.1633236305901032,0.7698399419998885,0.981794125430008,0.1439534268324953,0.6030617366571859,0.9326408892967005
SRR3719568,0.28266537156635924,0.7091596268544695,0.5359351822836116,0.2828542854049771,0.591072503076356,0.7359628806120525
SRR3961740,0.09137306017067245,0.8178437349030595,0.3572813493681717,0.09491810373942959,0.7797609323676465,0.8394610753648472
SRR4069403,0.05581917951397962,0.10011808989593328,0.09739743924745231,0.0265847922654814,0.037533799877884313,0.07898806098964327
SRR4305336,0.328725452445129,0.740725614950632,0.6532152483634963,0.5439673982800622,0.8116849397846402,0.9265291395363118
SRR490744,0.31275367389783065,0.7805215638113602,0.648110566829951,0.40577326801959296,0.7764052180383152,0.8713756555467098
SRR5248299,0.1790198369041273,0.9703228870835271,0.9447991924599349,0.12434075468702062,0.8104162997120437,0.9178925670845666
SRR5438753,0.05743339236999053,0.8658292544754539,0.6645746195374529,0.0435516806308218,0.8159593417877905,0.883405716737162
SRR5574507,0.34642714939206326,0.7197246865730402,0.5135051917585784,0.6101883435416282,0.8132338645804046,0.880231047989755
SRR5808811,0.04075885140115777,0.07073204246988848,0.07507355164985993,0.010996908102284899,0.014581235955468515,0.05516486689624758
SRR5808830,0.04261326179904376,0.07536861248069733,0.0738133545874238,0.0173244629228115,0.021549317732679416,0.06498689306681164
SRR5924454,0.22763349440770295,0.901099231705361,0.7690311573390181,0.18923138553763558,0.4625684925154132,0.7962701827860142
SRR6323523,0.3009708179320859,0.8558496029861552,0.47220871866415454,0.5134979648779441,0.7844548573174417,0.8758545672603296
SRR6490004,0.09492400796388653,0.7703462772146121,0.3920301996885411,0.0406256776202955,0.5600540176915765,0.6944104675859598
SRR6490006,0.050157320721938035,0.6731388802229874,0.19743654087443296,0.0518617894025665,0.5567911349285719,0.6835216823237363
SRR6714105,0.3710629812829806,0.8281517220204602,0.6441604331684532,0.5502379562204293,0.7702113714473786,0.89192486316996
SRR6765262,0.297101026030411,0.4549472001781199,0.5506882386153457,0.30652971427457454,0.40577935399736,0.7629111968568675
SRR7299214,0.3321189275499995,0.6822112412334324,0.526933965873441,0.1181479433543415,0.28970620423241006,0.4030796822654816
SRR7610133,0.2861831208994319,0.6064022757964889,0.800938903100635,0.045155310105246406,0.28962999661720323,0.5102709894466013
SRR9109404,0.22527959466497188,0.7575866365198596,0.5801516475562499,0.1250183159883091,0.612334813327164,0.6469121023529161
SRR975540,0.06543203751023345,0.4097898009320943,0.541355528542013,0.10355007566548369,0.4254577549907521,0.5573218430286733
